,event_id,depth,magnitude,latitude,longitude,time_utc,time_ak,distance,backazimuth,array,slowness,trace_vel,incident_angle,p_arrival
0,us10005ckm,12.82,3.8,52.4302,-165.237,2016-04-25T12:24:54.740000Z,2016-04-25T04:24:54.740000Z,177.2613223381456,153.12462244704167,POM,0.12368257798578032,8.085213101840173,45.836858928311166,27.90694478748226
1,us10005ckh,40.15,3.4,54.041,-164.0144,2016-04-25T11:07:50.010000Z,2016-04-25T03:07:50.010000Z,158.9337360624583,81.62361480018672,POM,0.12351020517503437,8.096496954100552,45.75470073230851,23.42603706100448
2,us10005cke,34.91,3.7,52.1809,-168.5785,2016-04-25T06:16:22.060000Z,2016-04-24T22:16:22.060000Z,236.34016946950283,218.76593341917905,POM,0.1236743539139021,8.085750750686486,45.83293632798115,33.00052863935081
3,us10005cyr,10.0,3.2,54.6958,-161.5904,2016-04-24T04:49:31.220000Z,2016-04-23T20:49:31.220000Z,327.78089391598866,71.50303849403053,POM,0.12366650585237325,8.086263884529485,45.829193329481626,46.86103747196832
4,us20005l8g,46.56,4.2,52.0147,-171.0999,2016-04-23T20:15:58.160000Z,2016-04-23T12:15:58.160000Z,375.7163596425927,238.82801262922104,POM,0.12344041072291916,8.101074795065715,45.721468936177864,50.2115406521119
5,us10005bzs,10.0,3.5,52.9271,-162.93,2016-04-21T21:03:05.010000Z,2016-04-21T13:03:05.010000Z,253.85964262331993,112.64686651789177,POM,0.12368220197543095,8.085237681963704,45.836679578233735,37.718913050136365
6,us20005lgs,9.9,3.3,54.7707,-160.6906,2016-04-19T09:56:18.000000Z,2016-04-19T01:56:18.000000Z,386.06566066446067,72.41604684835612,POM,0.12364891849431184,8.087414044353348,45.820806254242434,54.08039507931294
7,us10005btv,33.64,3.1,52.6049,-169.245,2016-04-18T12:35:34.040000Z,2016-04-18T04:35:34.040000Z,234.7658459101228,234.7382319444108,POM,0.1236743539139021,8.085750750686486,45.83293632798115,32.920854225581635
8,us10005buw,5.7,3.1,51.6698,-164.2421,2016-04-17T20:20:02.000000Z,2016-04-17T12:20:02.000000Z,284.13683627117115,148.05428193867587,POM,0.1236743539139021,8.085750750686486,45.83293632798115,41.97950999616701
9,us20005l3f,231.94,3.5,56.197,-161.6861,2016-04-16T12:19:12.680000Z,2016-04-16T04:19:12.680000Z,398.99510989071734,47.33776302344165,POM,0.10533630926122411,9.493402673907003,37.65826886102095,58.090851587984545
10,us20005kzs,27.27,3.8,52.2164,-168.5004,2016-04-15T19:27:25.420000Z,2016-04-15T11:27:25.420000Z,229.9772161061182,218.29748406840133,POM,0.12368246592167428,8.085220427552606,45.836805475716396,32.906262174798826
11,us20005i7d,30.6,4.0,54.16,-162.495,2016-04-14T13:52:13.190000Z,2016-04-14T05:52:13.190000Z,259.17673515660533,80.93871298346471,POM,0.1236743539139021,8.085750750686486,45.83293632798115,36.215597744829616
12,us20005kkw,41.8,3.0,53.5744,-164.7171,2016-04-14T03:23:43.000000Z,2016-04-13T19:23:43.000000Z,116.42312179239168,104.98287048518237,POM,0.12311674742893344,8.122371820919238,45.567618002828155,18.193106616859026
13,us20005kbp,28.6,3.3,52.5976,-163.6584,2016-04-13T15:56:21.000000Z,2016-04-13T07:56:21.000000Z,231.34667445219614,126.17089070359671,POM,0.12368220197543095,8.085237681963704,45.836679578233735,32.954933524630235
14,us20005jfk,40.99,3.0,53.1155,-166.9239,2016-04-08T20:13:42.040000Z,2016-04-08T12:13:42.040000Z,89.16121360256376,202.46755913576456,POM,0.12268958197865942,8.150651293065287,45.36521065931162,14.83140078597413
15,us20005hwv,22.9,3.5,53.708,-164.334,2016-04-07T21:20:22.520000Z,2016-04-07T13:20:22.520000Z,138.16780055400866,96.0488819726193,POM,0.1236857184961281,8.085007809784477,45.838356917034524,21.947736596847257
16,us20005fwj,226.21,4.0,56.1122,-161.7895,2016-04-06T19:29:04.320000Z,2016-04-06T11:29:04.320000Z,388.08353684760846,47.82922279071712,POM,0.10549974739901255,9.478695680833068,37.726906358791254,56.66470094393922
17,us20005i90,21.97,3.8,54.5055,-160.5176,2016-04-06T01:52:20.370000Z,2016-04-05T17:52:20.370000Z,391.6326569918599,76.9981494868615,POM,0.12364603925261383,8.08760236918677,45.81943331920308,53.37885511237557
18,us20005iuz,25.6,3.5,54.4027,-161.4907,2016-04-06T01:33:13.000000Z,2016-04-05T17:33:13.000000Z,327.5212347941212,77.32371938371152,POM,0.12365865779084437,8.086777083505103,45.825450582668395,45.12130710317037
19,us20005hhs,21.87,3.9,52.2002,-164.9302,2016-04-05T13:45:15.100000Z,2016-04-05T05:45:15.100000Z,209.55162410111438,151.02078039282497,POM,0.12368562491303985,8.08501392706771,45.83831227835285,30.87052005433243
20,us20005hgn,10.0,4.1,56.3869,-167.8456,2016-04-05T13:03:48.440000Z,2016-04-05T05:03:48.440000Z,296.05538502140996,342.62968436474426,POM,0.1236743539139021,8.085750750686486,45.83293632798115,42.93751246419784
21,us20005gnd,111.7,3.2,54.0635,-166.4478,2016-04-04T15:42:13.000000Z,2016-04-04T07:42:13.000000Z,23.09494696888083,354.66839534866097,POM,0.026710272833183998,37.43877893892689,8.912132329199205,15.602183689562006
22,us20005gm8,9.3,3.0,56.4145,-167.7325,2016-04-04T09:41:25.000000Z,2016-04-04T01:41:25.000000Z,296.85148440256705,344.0968118539807,POM,0.1236743539139021,8.085750750686486,45.83293632798115,43.11992499063647
