,array_baz,array_slow,array_vel,mdccm,conf_int_vel,conf_int_baz,time,baz_error,slow_error,max_freq,min_freq,window_length,window_start,multiple_triggers,no_triggers,trigger_time,trigger_type,sta/lta,trigger_length,num_stations,array_lat,array_lon,event_id,velocity_model,array_processing,min_triggers,depth,magnitude,latitude,longitude,time_utc,time_ak,distance,backazimuth,array,slowness,trace_vel,incident_angle,p_arrival
0,34.602382229655916,2.4112365712396895,0.4147249639158674,0.29958288965987545,0.801562284152329,40.42726097825229,2016-04-24T04:50:15.725000Z,34.83042554467116,-2.285493357291093,10,0.5,6,-1,peak,max mdccm,2016-04-24T04:50:15.734272Z,Taup,0.0,0.0,10,53.77933636363636,-166.21232727272726,us10005cyr,pavdut,lts,3,10.0,3.2,54.6958,-161.5904,2016-04-24T04:49:31.220000Z,2016-04-23T20:49:31.220000Z,318.0839503462399,69.43280777432707,3A,0.12574321394859672,7.952715447600979,22.55169237154147,44.5142722941167
1,103.23626697744157,0.11451638206178048,8.732375071546617,0.8224652774923746,1.5675612870548217,11.63466042888345,2016-04-23T11:37:56.165000Z,-34.86854969558101,0.010994052716299232,10,0.5,6,-1,peak,max mdccm,2016-04-23T11:37:56.174295Z,Taup,0.0,0.0,10,53.77933636363636,-166.21232727272726,us10005ccl,pavdut,lts,3,15.21,3.5,55.0552,-159.8866,2016-04-23T11:36:57.480000Z,2016-04-23T03:36:57.480000Z,434.3339909895113,68.36771728186058,3A,0.12551043477807972,7.967465030044251,22.507652658205316,58.69429479702193
2,152.0873384536019,0.1960739613386182,5.100116268233127,0.37536921941436974,1.0851999715783487,20.233191249650105,2016-04-22T11:16:35.925000Z,103.38383239235156,-0.0747312531679112,10,0.5,6,-1,peak,max mdccm,2016-04-22T11:16:35.933441Z,Taup,0.0,0.0,10,53.77933636363636,-166.21232727272726,us10005cb9,pavdut,lts,3,100.3,3.6,52.684,-172.204,2016-04-22T11:15:40.270000Z,2016-04-22T03:15:40.270000Z,418.1163281050634,255.47117084595342,3A,0.12134270817070701,8.241121490326249,21.721492327733074,55.663441037458206
3,94.31030945825273,0.04783029120513984,20.907253014853904,0.3891869544692129,5.192213540576754,12.858055604537611,2016-04-22T04:34:25.225000Z,-44.063308857383845,0.07314106900095443,10,0.5,6,-1,peak,max mdccm,2016-04-22T04:34:23.224437Z,STA/LTA trigger,22.86735869084237,0.04,10,53.77933636363636,-166.21232727272726,ak01656yawn7,pavdut,lts,3,134.9,3.4,57.8267,-156.206,2016-04-22T04:32:45.472000Z,2016-04-21T20:32:45.472000Z,771.2970136211754,50.24700060086888,3A,0.12097136020609427,8.266419409489473,21.651655359611155,98.86243716676702
4,153.857377806161,0.28762944694208015,3.47669548661118,0.7502393512486804,0.332734755094775,9.266354715465866,2016-04-22T09:02:21.685000Z,105.14538592480551,-0.1642374040668697,10,0.5,6,-1,peak,max mdccm,2016-04-22T09:02:21.691372Z,Taup,0.0,0.0,10,53.77933636363636,-166.21232727272726,us10005cb8,pavdut,lts,3,34.01,3.8,52.0871,-176.546,2016-04-22T09:00:48.410000Z,2016-04-22T01:00:48.410000Z,719.1797315550482,259.0027637309665,3A,0.12339204287521044,8.10425029603672,22.107511659747267,93.28137217730853
5,259.4076609333865,1.6638916537426558,0.6010006707772476,0.2800843253484959,6.851931059088197,61.185008109205114,2016-04-24T05:29:25.425000Z,152.70806624726367,-1.5395293338762055,10,0.5,6,-1,peak,max mdccm,2016-04-24T05:29:28.418797Z,Taup,0.0,0.0,10,53.77933636363636,-166.21232727272726,ak0165a9y33o,pavdut,lts,3,15.7,3.5,57.0745,-157.7677,2016-04-24T05:28:03.089000Z,2016-04-23T21:28:03.089000Z,647.6949777182231,52.115727180650225,3A,0.12436231986645022,8.04102079370887,22.290644086508056,85.32979705197751
6,259.1333942515662,2.1516828970240867,0.4647524973977639,0.28998395791577375,0.2610049613661334,20.395801077351194,2016-04-23T20:16:46.365000Z,-18.00617335646669,-2.026644264855687,10,0.5,6,-1,peak,max mdccm,2016-04-23T20:16:49.357268Z,Taup,0.0,0.0,10,53.77933636363636,-166.21232727272726,us20005l8g,pavdut,lts,3,46.56,4.2,52.0147,-171.0999,2016-04-23T20:15:58.160000Z,2016-04-23T12:15:58.160000Z,382.9565316213813,241.1272208950995,3A,0.12503863216839994,7.997528305117867,22.41843484311304,51.19726802706137
7,84.0653301428975,0.13725946891215132,7.285471872545413,0.3031127844239551,51.88238688922182,71.33826375370299,2016-04-19T09:57:09.825000Z,-13.349657288820708,-0.01157447505545428,10,0.5,6,-1,peak,max mdccm,2016-04-19T09:57:09.821333Z,Taup,0.0,0.0,10,53.77933636363636,-166.21232727272726,us20005lgs,pavdut,lts,3,9.9,3.3,54.7707,-160.6906,2016-04-19T09:56:18.000000Z,2016-04-19T01:56:18.000000Z,376.12958375232887,70.7156728540768,3A,0.12568499385669704,7.956399322739958,22.540676339694755,51.82133268140728
8,236.50894706147483,0.12500646070299085,7.999586536378711,0.5869375771249137,0.680116459156074,2.8958333878047995,2016-04-19T07:22:21.205000Z,20.98607699102456,-0.005749853229424423,10,0.5,6,-1,peak,max mdccm,2016-04-19T07:22:19.198016Z,Multiple triggers,30.260223365489306,0.07578947368421053,10,53.77933636363636,-166.21232727272726,us20005lgw,pavdut,lts,3,144.75,3.2,52.4876,-173.9022,2016-04-19T07:21:08.460000Z,2016-04-18T23:21:08.460000Z,534.0775283476751,257.4950240524994,3A,0.11925660747356642,8.385279618336057,21.329608787371164,70.39801636018801
9,81.00193101338039,0.35880732019756134,2.7870111441689494,0.5926853506829386,0.5141976530290062,8.196273859955028,2016-04-21T07:52:54.365000Z,-45.24524429569831,-0.23602716868283996,10,0.5,6,-1,peak,max mdccm,2016-04-21T07:52:57.369309Z,Taup,0.0,0.0,10,53.77933636363636,-166.21232727272726,ak01655cnql2,pavdut,lts,3,3.8,3.2,60.2649,-156.2896,2016-04-21T07:50:54.948000Z,2016-04-20T23:50:54.948000Z,938.6330250844255,35.75668671768207,3A,0.1227801515147214,8.14463891486646,21.992144076991053,122.42130862093833
