,mean_power,median_power,frequency,time,station
0,-96.3001448288367,-95.82792355224092,0.0052556,2015-07-06,2A04
1,-97.41305665900977,-97.32750985049915,0.00573128,2015-07-06,2A04
2,-98.16562386739247,-98.08007705888184,0.00625,2015-07-06,2A04
3,-99.0364456079329,-99.01114773559247,0.00681567,2015-07-06,2A04
4,-99.7890202860125,-99.7637224136721,0.00743254,2015-07-06,2A04
5,-100.81455850604964,-100.61020531456028,0.00810525,2015-07-06,2A04
6,-102.2838024419812,-102.31217265474714,0.00883883,2015-07-06,2A04
7,-103.03638376536142,-103.06475397812738,0.00963882,2015-07-06,2A04
8,-104.10385133864567,-104.04402155141165,0.0105112,2015-07-06,2A04
9,-105.41817740153387,-105.45414144408706,0.0114626,2015-07-06,2A04
10,-106.41143861549907,-106.41607542400972,0.0125,2015-07-06,2A04
11,-107.83515508174568,-107.780523379618,0.0136313,2015-07-06,2A04
12,-108.81578450804828,-108.76673450804827,0.0148651,2015-07-06,2A04
13,-110.35726412221051,-110.343306675402,0.0162105,2015-07-06,2A04
14,-111.61369360458038,-111.42348977479315,0.0176777,2015-07-06,2A04
15,-112.5428996668713,-112.36104158176494,0.0192776,2015-07-06,2A04
16,-113.97036077294702,-113.9421367303938,0.0210224,2015-07-06,2A04
17,-115.39900698363998,-115.40825740917188,0.0229251,2015-07-06,2A04
18,-116.75207539674044,-116.67041007759153,0.025,2015-07-06,2A04
19,-118.05158644475758,-118.0268872958214,0.0272627,2015-07-06,2A04
20,-119.31055476075748,-119.30598050543831,0.0297302,2015-07-06,2A04
21,-120.82963711076535,-120.8501707277866,0.032421,2015-07-06,2A04
22,-121.89778543857867,-121.94680650240844,0.0353553,2015-07-06,2A04
23,-123.0970642973425,-123.11067961649142,0.0385553,2015-07-06,2A04
24,-124.32220122853329,-124.33345420725672,0.0420448,2015-07-06,2A04
25,-125.50949799491563,-125.5661352289582,0.0458502,2015-07-06,2A04
26,-126.68005554124558,-126.65879362635194,0.05,2015-07-06,2A04
27,-127.85978439023717,-127.89732481576908,0.0545254,2015-07-06,2A04
28,-128.94837009456498,-128.87911477541607,0.0594604,2015-07-06,2A04
29,-130.08386959464227,-130.1401506584721,0.064842,2015-07-06,2A04
30,-131.1582787674951,-131.19578004409084,0.0707107,2015-07-06,2A04
31,-132.16636054999995,-132.24460246489352,0.0771105,2015-07-06,2A04
32,-132.8157486092621,-132.84428094968766,0.0840896,2015-07-06,2A04
33,-132.97257565089373,-132.9513258636597,0.0917004,2015-07-06,2A04
34,-132.46756501773086,-132.44673501773087,0.1,2015-07-06,2A04
35,-131.88480526911943,-131.85216399252369,0.109051,2015-07-06,2A04
36,-130.39792903432428,-130.47761924709025,0.118921,2015-07-06,2A04
37,-126.56651893972781,-126.72555149291937,0.129684,2015-07-06,2A04
38,-121.13232896846598,-120.73759279825325,0.141421,2015-07-06,2A04
39,-116.46345295642246,-116.12197423301822,0.154221,2015-07-06,2A04
40,-113.69293213035121,-112.81890447077672,0.168179,2015-07-06,2A04
41,-112.1951230088451,-111.27935279607914,0.183401,2015-07-06,2A04
42,-111.1236042653353,-110.2020383078885,0.2,2015-07-06,2A04
43,-110.72320802835041,-109.8517995177121,0.218102,2015-07-06,2A04
44,-110.8295035629517,-110.10685249912191,0.237841,2015-07-06,2A04
45,-111.00400324028283,-110.3225543041126,0.259368,2015-07-06,2A04
46,-111.24759797304341,-110.64411499432002,0.282843,2015-07-06,2A04
47,-111.69233339824393,-111.15985254718012,0.308442,2015-07-06,2A04
48,-112.27695700294879,-111.73213998167222,0.336359,2015-07-06,2A04
49,-112.90587572008099,-112.34910125199588,0.366802,2015-07-06,2A04
50,-113.63355920960132,-113.0922826138566,0.4,2015-07-06,2A04
